tagBOJ,tagSA,nameKo,nameEn,aliases
1,2_sat,2-sat,2-sat,"[{'alias': '투셋'}, {'alias': 'twosat'}, {'alias': '2sat'}]"
3,polygon_area,다각형의 넓이,area of a polygon,[{'alias': '넓이'}]
6,combinatorics,조합론,combinatorics,"[{'alias': 'combination'}, {'alias': 'permutation'}, {'alias': 'probability'}, {'alias': '확률'}, {'alias': '순열'}]"
7,graphs,그래프 이론,graph theory,"[{'alias': '그래프이론'}, {'alias': '그래프'}]"
9,primality_test,소수 판정,primality test,"[{'alias': '소수'}, {'alias': '소수판별'}, {'alias': '소수판정'}, {'alias': 'prime'}]"
10,bellman_ford,벨만–포드,bellman–ford,"[{'alias': 'bellmanford'}, {'alias': '벨만포드'}, {'alias': 'spfa'}]"
11,graph_traversal,그래프 탐색,graph traversal,"[{'alias': 'bfs'}, {'alias': 'dfs'}]"
12,binary_search,이분 탐색,binary search,"[{'alias': '이분탐색'}, {'alias': '이진탐색'}]"
14,bitmask,비트마스킹,bitmask,"[{'alias': '비트필드'}, {'alias': '비트마스크'}]"
16,burnside,번사이드 보조정리,burnside's lemma,[]
20,convex_hull,볼록 껍질,convex hull,[{'alias': '컨벡스헐'}]
22,dijkstra,데이크스트라,dijkstra's,"[{'alias': '다익'}, {'alias': '다익스트라'}, {'alias': '데이크스트라'}]"
25,dp,다이나믹 프로그래밍,dynamic programming,"[{'alias': '동적계획법'}, {'alias': '동적 계획법'}, {'alias': '다이나믹프로그래밍'}]"
32,gaussian_elimination,가우스 소거법,gaussian elimination,[]
33,greedy,그리디 알고리즘,greedy,[{'alias': '탐욕법'}]
39,exponentiation_by_squaring,분할 정복을 이용한 거듭제곱,exponentiation by squaring,"[{'alias': '거듭제곱'}, {'alias': '제곱'}, {'alias': 'power'}, {'alias': 'square'}]"
40,kmp,KMP,knuth–morris–pratt,[]
42,line_intersection,선분 교차 판정,line segment intersection check,[]
45,flow,최대 유량,maximum flow,"[{'alias': 'dinic'}, {'alias': 'dinitz'}, {'alias': 'ford'}, {'alias': 'fulkerson'}, {'alias': 'fordfulkerson'}, {'alias': '디닉'}, {'alias': '디니츠'}, {'alias': '포드풀커슨'}, {'alias': '플로우'}]"
49,mst,최소 스패닝 트리,minimum spanning tree,[]
56,point_in_convex_polygon,볼록 다각형 내부의 점 판정,point in convex polygon check,[]
62,recursion,재귀,recursion,[]
65,segtree,세그먼트 트리,segment tree,"[{'alias': '구간트리'}, {'alias': '세그트리'}, {'alias': 'fenwick'}, {'alias': '펜윅'}]"
67,sieve,에라토스테네스의 체,sieve of eratosthenes,"[{'alias': 'sieve'}, {'alias': '에라체'}, {'alias': '소수'}, {'alias': 'prime'}]"
73,deque,덱,deque,[]
74,tree_set,트리를 사용한 집합과 맵,set / map by trees,"[{'alias': '집합'}, {'alias': '맵'}, {'alias': '셋'}, {'alias': '딕셔너리'}, {'alias': 'dictionary'}, {'alias': 'map'}, {'alias': 'set'}, {'alias': 'bbst'}, {'alias': '트리'}, {'alias': 'tree'}]"
76,scc,강한 연결 요소,strongly connected component,[]
77,suffix_array,접미사 배열과 LCP 배열,suffix array and lcp array,[]
81,disjoint_set,분리 집합,disjoint set,"[{'alias': 'union'}, {'alias': 'find'}, {'alias': '유니온'}, {'alias': '파인드'}, {'alias': 'dsu'}]"
87,dp_bitfield,비트필드를 이용한 다이나믹 프로그래밍,dynamic programming using bitfield,"[{'alias': '동적계획법'}, {'alias': '비트마스크'}, {'alias': '비트dp'}]"
95,number_theory,정수론,number theory,[]
96,parsing,파싱,parsing,[]
97,sorting,정렬,sorting,[]
100,geometry,기하학,geometry,[]
101,ternary_search,삼분 탐색,ternary search,[]
102,implementation,구현,implementation,[]
104,matroid,매트로이드,matroid,[]
106,sweeping,스위핑,sweeping,[{'alias': '라인 스위핑'}]
109,ad_hoc,애드 혹,ad-hoc,[]
111,calculus,미적분학,calculus,"[{'alias': '미분'}, {'alias': '적분'}]"
115,randomization,무작위화,randomization,[{'alias': '랜덤'}]
124,math,수학,mathematics,[]
125,bruteforcing,브루트포스 알고리즘,bruteforcing,"[{'alias': '완전탐색'}, {'alias': '완전 탐색'}, {'alias': '브루트포스'}, {'alias': 'bruteforce'}, {'alias': 'brute force'}, {'alias': '완탐'}]"
126,bfs,너비 우선 탐색,breadth-first search,"[{'alias': 'breadthfirst'}, {'alias': 'breadth first'}]"
127,dfs,깊이 우선 탐색,depth-first search,"[{'alias': 'depth first'}, {'alias': 'depthfirst'}]"
128,constructive,해 구성하기,constructive,"[{'alias': 'constructive'}, {'alias': '컨스트럭티브'}, {'alias': '구성적'}]"
131,geometry_3d,3차원 기하학,geometry; 3d,[]
136,hash_set,해시를 사용한 집합과 맵,set / map by hashing,"[{'alias': '집합'}, {'alias': '맵'}, {'alias': '셋'}, {'alias': '딕셔너리'}, {'alias': 'dictionary'}, {'alias': 'map'}, {'alias': 'set'}, {'alias': '해싱'}, {'alias': 'hashing'}, {'alias': 'dict'}]"
137,case_work,많은 조건 분기,case work,"[{'alias': '케이스'}, {'alias': '케이스워크'}, {'alias': '케이스 워크'}]"
139,prefix_sum,누적 합,prefix sum,"[{'alias': '구간합'}, {'alias': '부분합'}, {'alias': 'rangesum'}]"
141,simulation,시뮬레이션,simulation,[]
142,heuristics,휴리스틱,heuristics,[]
144,linear_algebra,선형대수학,linear algebra,[{'alias': '선형대수'}]
148,knapsack,배낭 문제,knapsack,[{'alias': '냅색'}]
158,string,문자열,string,[{'alias': '스트링'}]
161,coordinate_compression,값 / 좌표 압축,value / coordinate compression,[{'alias': 'zip'}]
164,modular_multiplicative_inverse,모듈로 곱셈 역원,modular multiplicative inverse,[{'alias': 'modinv'}]
170,parametric_search,매개 변수 탐색,parametric search,[{'alias': '파라메트릭'}]
175,data_structures,자료 구조,data structures,"[{'alias': '자료구조'}, {'alias': '자구'}]"
177,probability,확률론,probability theory,"[{'alias': 'expected value'}, {'alias': '기대값'}, {'alias': '기댓값'}]"
190,half_plane_intersection,반평면 교집합,half plane intersection,[]
215,shortest_path,최단 경로,shortest path,[]
